name,phone_number,address,types,price_level,rating
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
青田七六,,大安區青田街7巷6號,restaurant point_of_interest food establishment,2,4.4
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant food point_of_interest establishment,2,4.3
晉江茶堂,,中正區晉江街1號,restaurant point_of_interest food establishment,2,4.3
歐嬤德式美食 金華店,,大安區金華街221號,bakery store restaurant point_of_interest food establishment,3,4.3
豐盛食堂,,大安區麗水街1之3號,restaurant food point_of_interest establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
Focus kitchen肯恩廚房,,大安區信義路二段198巷6號,restaurant point_of_interest food establishment,2,4.3
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant food point_of_interest establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant food point_of_interest establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant food point_of_interest establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant food point_of_interest establishment,2,4.2
六品小館-總店,,大安區金華街199巷3弄8號,restaurant point_of_interest food establishment,2,4.2
師園鹽酥雞,,大安區師大路39巷14號,meal_takeaway store restaurant point_of_interest food establishment,1,4.2
蘇活義大利麵坊,,大安區新生南路三段60巷3號,restaurant point_of_interest food establishment,2,4.2
古典玫瑰園 台北永康店,,大安區麗水街3之1號,restaurant food point_of_interest establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
莫宰羊-大安台大店,,大安區新生南路三段28號,restaurant point_of_interest food establishment,2,4.2
紫藤廬,,大安區新生南路三段16巷1號,tourist_attraction cafe restaurant point_of_interest food establishment,2,4.2
樂麵屋 永康店,,大安區永康街10巷7號,restaurant point_of_interest food establishment,2,4.2
霞飛驛歐法西餐,,大安區新生南路三段60巷8號,restaurant point_of_interest food establishment,2,4.2
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant food point_of_interest establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant food point_of_interest establishment,2,4.1
韓記老虎麵食館,,大安區金華街203號,restaurant point_of_interest food establishment,2,4.1
雲禾特調小火鍋,,大安區雲和街2號,restaurant point_of_interest food establishment,2,4.1
帝拉摩義式餐廳 telamo italian bistro,,中正區羅斯福路二段66巷1號,restaurant point_of_interest food establishment,2,4.1
佬披薩LAPIZZAitalian,,大安區師大路105巷8號,meal_delivery restaurant food point_of_interest establishment,2,4.1
大鵬灣食堂（請先提前電話預約）,,大安區和平東路一段141巷9號1樓,restaurant food point_of_interest establishment,3,4.1
香港鑫華茶餐廳,,大安區永康街48號,restaurant food point_of_interest establishment,2,4.1
Rice Cafe 杓文字,,大安區永康街10巷7號,restaurant food point_of_interest establishment,2,4.1
魚日式料理,,大安區羅斯福路二段15巷10號,restaurant food point_of_interest establishment,2,4.1
すき家 SUKIYA 古亭店,,中正區羅斯福路二段50號,restaurant food point_of_interest establishment,1,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
KGB Kiwi Gourmet Burgers,,大安區師大路114巷5號,restaurant point_of_interest food establishment,2,4.1
瑪莉珍披薩 師大店,,大安區浦城街33-9號,restaurant point_of_interest food establishment,2,4.1
