comments,keywords
: 今年也還沒打T1阿，說什麼東西xDD,"[':', ' ', '今年', '也', '還沒', '打', 'T1', '阿', '，', '說', '什麼', '東西', 'xDD']"
: BLG全隊要被左手標記菜了,"[':', ' ', 'BLG', '全隊', '要', '被', '左手', '標記', '菜', '了']"
: 神左準備要跟右手 faker對決了,"[':', ' ', '神', '左', '準備', '要', '跟', '右手', ' ', 'faker', '對決', '了']"
: 牙膏的對線真的是慘不忍睹，拿冰女還跑不贏左手,"[':', ' ', '牙膏', '的', '對線', '真的', '是慘', '不忍', '睹', '，', '拿冰女', '還跑', '不贏', '左手']"
: BLG季後賽上野都拿C 有什好不能玩的,"[':', ' ', 'BLG', '季後賽', '上野', '都', '拿', 'C', ' ', '有什好', '不能', '玩', '的']"
: 去年JDG部知道怎麼死在T1手裡的,"[':', ' ', '去年', 'JDG', '部', '知道', '怎麼', '死', '在', 'T1', '手裡', '的']"
: 牙膏MSI狀況真的爛 牙膏不動BLG就玩不起來,"[':', ' ', '牙膏', 'MSI', '狀況', '真的', '爛', ' ', '牙膏', '不動', 'BLG', '就', '玩', '不', '起來']"
: 神左去年也不是JDG的啊,"[':', ' ', '神', '左', '去年', '也', '不是', 'JDG', '的', '啊']"
: 一個切槍釣出多少人不會玩大東,"[':', ' ', '一個', '切槍', '釣出', '多少', '人不會', '玩大東']"
: 勳就玩工具人 給bin來個輸出角吧,"[':', ' ', '勳', '就', '玩', '工具', '人', ' ', '給', 'bin', '來個', '輸', '出角', '吧']"
: 不意外 blg明顯爛其他四強一個等級,"[':', ' ', '不', '意外', ' ', 'blg', '明顯爛', '其他', '四強', '一個', '等級']"
: 我覺得這把戰犯就牙膏吧 Bin一等就去下路晃了,"[':', ' ', '我覺', '得', '這把', '戰犯', '就', '牙膏', '吧', ' ', 'Bin', '一等', '就', '去', '下路', '晃', '了']"
: 牙膏真的越來越爛了,"[':', ' ', '牙膏', '真的', '越來', '越爛', '了']"
: BIN拿坦克 BLG真的會連TES都打不贏 被虐很正常,"[':', ' ', 'BIN', '拿', '坦克', ' ', 'BLG', '真的', '會連', 'TES', '都', '打', '不贏', ' ', '被', '虐', '很', '正常']"
: 而且elk jinx也是極醜,"[':', ' ', '而且', 'elk', ' ', 'jinx', '也', '是', '極醜']"
: 打贏T1=>還不是靠韓國人,"[':', ' ', '打贏', 'T1', '=', '>', '還', '不是', '靠', '韓國人']"
: 但是T1打LPL 贏多輸少...,"[':', ' ', '但是', 'T1', '打', 'LPL', ' ', '贏多', '輸少', '...']"
: 左手去年跟著JKL變戰俘了,"[':', ' ', '左手', '去年', '跟', '著', 'JKL', '變戰', '俘', '了']"
: 打輸T1=>加了韓國人都打不贏,"[':', ' ', '打輸', 'T1', '=', '>', '加', '了', '韓國人', '都', '打', '不贏']"
: 整個msi打到現在 blg哪場靠過牙膏了 打外卡靠elk 打,"[':', ' ', '整個', 'msi', '打到', '現在', ' ', 'blg', '哪場', '靠過', '牙膏', '了', ' ', '打', '外卡', '靠', 'elk', ' ', '打']"
: 好了啦韓粉自助餐吃飽了沒,"[':', ' ', '好', '了', '啦', '韓粉', '自助餐', '吃', '飽', '了', '沒']"
: BLG的團戰陣形都超醜啊,"[':', ' ', 'BLG', '的', '團戰', '陣形', '都', '超醜', '啊']"
: 下一場BIN拿輸出角才是正常的BLG,"[':', ' ', '下一場', 'BIN', '拿輸', '出角', '才', '是', '正常', '的', 'BLG']"
: na靠bin好嗎==,"[':', ' ', 'na', '靠', 'bin', '好', '嗎', '=', '=']"
: 選個豹女打啥團,"[':', ' ', '選個', '豹', '女', '打', '啥團']"
: 牙膏再這樣下去，BLG又要找中路了,"[':', ' ', '牙膏', '再', '這樣', '下去', '，', 'BLG', '又', '要', '找', '中路', '了']"
: 靠韓國人C還不想承認 XD,"[':', ' ', '靠', '韓國人', 'C', '還', '不想', '承認', ' ', 'XD']"
: 牙膏不會老黑嗎?該拿出來了這是你最後的機會,"[':', ' ', '牙膏', '不會', '老', '黑', '嗎', '?', '該', '拿出', '來', '了', '這是', '你', '最', '後', '的', '機會']"
: 牙膏是春決被打矇了一路矇到現在是不是==,"[':', ' ', '牙膏', '是', '春決', '被', '打', '矇', '了', '一路', '矇到', '現在', '是不是', '=', '=']"
: 3:0趕快結束吧，上路9/1開 下路ad已經比別人爛了，,"[':', ' ', '3', ':', '0', '趕快', '結束', '吧', '，', '上路', '9', '/', '1', '開', ' ', '下路', 'ad', '已經', '比別', '人爛', '了', '，']"
: 前面菜雞打太多 BLG誤以為真的能讓BIN拿坦克,"[':', ' ', '前面', '菜雞', '打太多', ' ', 'BLG', '誤以', '為', '真的', '能', '讓', 'BIN', '拿', '坦克']"
: 目前來看LPL的確整體比LCK還強很多 JDG太猛,"[':', ' ', '目前', '來', '看', 'LPL', '的', '確整體', '比', 'LCK', '還強', '很多', ' ', 'JDG', '太猛']"
: LPL本來就對BLG沒什麼期望,"[':', ' ', 'LPL', '本來', '就', '對', 'BLG', '沒什麼', '期望']"
: BLG的溝通有問題,"[':', ' ', 'BLG', '的', '溝通', '有', '問題']"
: 決賽前T1沒輸過LPL耶，畢竟T1只輸決賽,"[':', ' ', '決賽', '前', 'T1', '沒輸過', 'LPL', '耶', '，', '畢竟', 'T1', '只輸', '決賽']"
: 好像有支粉發作了欸,"[':', ' ', '好像', '有', '支粉', '發作', '了', '欸']"
: ELK真的還想打亞運嗎,"[':', ' ', 'ELK', '真的', '還想', '打亞運', '嗎']"
: 反正本來就是個預期3-0的局 也不意外BLG就中韓最爛,"[':', ' ', '反正', '本來', '就是', '個', '預期', '3', '-', '0', '的', '局', ' ', '也', '不', '意外', 'BLG', '就', '中韓', '最爛']"
: 牙膏真的是爛一陣子了，說不定還真有可能打不贏G2,"[':', ' ', '牙膏', '真的', '是爛', '一陣子', '了', '，', '說', '不定', '還真', '有', '可能', '打不贏', 'G2']"
: 豹女這把前期節奏跟小會戰的傷害超高的 XUN打得很好,"[':', ' ', '豹女', '這把', '前期', '節奏', '跟', '小會戰', '的', '傷害', '超高', '的', ' ', 'XUN', '打得', '很', '好']"
: BLG贏法就是上路壓爆 給時間壓力 拿坦克根本搞笑,"[':', ' ', 'BLG', '贏法', '就是', '上路', '壓爆', ' ', '給時間', '壓力', ' ', '拿', '坦克', '根本', '搞笑']"
: icon：我在熱身了,"[':', ' ', 'icon', '：', '我', '在', '熱身', '了']"
: 50個怎樣才算贏T1的要點,"[':', ' ', '50', '個', '怎樣', '才', '算贏', 'T1', '的', '要點']"
: 決賽的T1 也是跟鬼一樣 另一種鬼,"[':', ' ', '決賽', '的', 'T1', ' ', '也', '是', '跟', '鬼', '一樣', ' ', '另', '一種', '鬼']"
: T1 究極四保一無解吧,"[':', ' ', 'T1', ' ', '究極', '四保', '一無解', '吧']"
: 沒辦法 他們看到BLG輸 亞運很絕望 XD,"[':', ' ', '沒辦法', ' ', '他們', '看到', 'BLG', '輸', ' ', '亞運', '很', '絕望', ' ', 'XD']"
: 你說的那兩點確實都沒錯啊LUL,"[':', ' ', '你', '說', '的', '那', '兩點', '確實', '都', '沒錯', '啊', 'LUL']"
: BLG沒有主call 打強隊一盤散沙,"[':', ' ', 'BLG', '沒有主', 'call', ' ', '打強隊', '一盤', '散沙']"
: 韓粉真的很好笑 捧韓國人捧到自己有優越感了,"[':', ' ', '韓粉', '真的', '很', '好笑', ' ', '捧', '韓國人', '捧', '到', '自己', '有優', '越感', '了']"
: 去年夏季的牙膏就是超常發揮 這才正常,"[':', ' ', '去年', '夏季', '的', '牙膏', '就是', '超常', '發揮', ' ', '這才', '正常']"
: 反正尺哥韓國人啊 elk再爛你找誰頂他位置,"[':', ' ', '反正', '尺哥', '韓國人', '啊', ' ', 'elk', '再爛', '你', '找', '誰', '頂', '他', '位置']"
: elk打外卡猛如虎 結果進正賽馬上烙賽 烙超慘那種,"[':', ' ', 'elk', '打', '外卡', '猛如虎', ' ', '結果', '進正賽', '馬', '上', '烙賽', ' ', '烙', '超慘', '那種']"
: 忘了自己是最爛的彎彎,"[':', ' ', '忘', '了', '自己', '是', '最爛', '的', '彎', '彎']"
: 阿怎麼有傻逼開始犯病了?,"[':', ' ', '阿', '怎麼', '有', '傻', '逼', '開始', '犯病', '了', '?']"
: 這場關鍵感覺是牙膏欸 沒打出冰女該有的影響力,"[':', ' ', '這場', '關鍵', '感覺', '是', '牙膏', '欸', ' ', '沒', '打出', '冰女', '該', '有', '的', '影響力']"
: 我覺得JDG打T1對線下路會炸，Rule才剛來救不了輔助,"[':', ' ', '我覺', '得', 'JDG', '打', 'T1', '對線', '下路會', '炸', '，', 'Rule', '才', '剛來', '救', '不了', '輔助']"
: 話說剛才聊天室有小爆動 u5剛才講大東切槍的時候,"[':', ' ', '話', '說', '剛才', '聊天室', '有', '小', '爆動', ' ', 'u5', '剛才', '講大東切', '槍', '的', '時候']"
: 講的有夠離譜的,"[':', ' ', '講的', '有夠', '離譜', '的']"
: elk打GG後面就蠻醜的了,"[':', ' ', 'elk', '打', 'GG', '後', '面', '就', '蠻醜', '的', '了']"
: 豹女就廢角  沒強控超難丟 然後強控就牙膏一個,"[':', ' ', '豹女', '就', '廢角', ' ', ' ', '沒強', '控超難', '丟', ' ', '然後強', '控', '就', '牙膏', '一個']"
: 這版missing很強啊,"[':', ' ', '這版', 'missing', '很強', '啊']"
: 靠北 不是都打一個春季了 剛來是殺小,"[':', ' ', '靠北', ' ', '不是', '都', '打', '一個', '春季', '了', ' ', '剛來', '是', '殺', '小']"
: 沒辦法 之前牙膏還有鳥人可以用,"[':', ' ', '沒辦法', ' ', '之前', '牙膏', '還有', '鳥', '人', '可以', '用']"
: MISSING哪裡強...爛很久了,"[':', ' ', 'MISSING', '哪裡強', '...', '爛', '很', '久', '了']"
: Elk正賽以後失誤真的多很多,"[':', ' ', 'Elk', '正賽', '以後失誤', '真的', '多', '很多']"
: 不是阿奇爾版本左手就是神啊,"[':', ' ', '不是', '阿奇爾', '版本', '左手', '就是', '神', '啊']"
: Missing春決就很猛了 以前不會的銳空練到上ban位,"[':', ' ', 'Missing', '春決', '就', '很', '猛', '了', ' ', '以前', '不會', '的', '銳空練', '到', '上', 'ban', '位']"
: 牙膏去年靠看av吧,"[':', ' ', '牙膏', '去年', '靠', '看', 'av', '吧']"
: 沒看pcs台 主播講了什麼啊,"[':', ' ', '沒看', 'pcs', '台', ' ', '主播講', '了', '什麼', '啊']"
: 那個切槍  U5沒說錯吧,"[':', ' ', '那個', '切槍', ' ', ' ', 'U5', '沒說', '錯', '吧']"
: Missing去年就輸小K很多啊,"[':', ' ', 'Missing', '去年', '就', '輸', '小', 'K', '很多', '啊']"
: JDG猛是猛再號稱無短版 但下路是小短版,"[':', ' ', 'JDG', '猛是', '猛', '再', '號稱', '無', '短版', ' ', '但', '下路', '是', '小', '短版']"
: Missing哪有爛很久 供三小,"[':', ' ', 'Missing', '哪有爛', '很', '久', ' ', '供三小']"
: 去年只是HOPE爛到Missing的差距看不出來,"[':', ' ', '去年', '只是', 'HOPE', '爛到', 'Missing', '的', '差距', '看不出', '來']"
: BLG好像在氣氛了,"[':', ' ', 'BLG', '好像', '在', '氣氛', '了']"
: 軟輔版本就沒人能贏LCK,"[':', ' ', '軟輔', '版本', '就', '沒人', '能贏', 'LCK']"
: 剛剛就切錯槍 怎麼上面一堆在雲的,"[':', ' ', '剛剛', '就', '切錯', '槍', ' ', '怎麼', '上面', '一堆', '在', '雲', '的']"
: 沒說錯啊  U5的意思就是Q把綠槍換掉 紫槍補上來,"[':', ' ', '沒說', '錯', '啊', ' ', ' ', 'U5', '的', '意思', '就是', 'Q', '把', '綠槍換', '掉', ' ', '紫槍', '補上', '來']"
: 看av打韓國隊爛得很 無短版再說吧,"[':', ' ', '看', 'av', '打', '韓國', '隊爛', '得', '很', ' ', '無短版', '再', '說', '吧']"
: 牙膏去年也沒靠Kanavi好嗎 又在供三小==,"[':', ' ', '牙膏', '去年', '也', '沒靠', 'Kanavi', '好', '嗎', ' ', '又', '在', '供三小', '=', '=']"
: 去年四強就被T1下路打出Shi，Ruler才剛來不覺得對線,"[':', ' ', '去年', '四強', '就', '被', 'T1', '下路', '打出', 'Shi', '，', 'Ruler', '才', '剛來', '不覺', '得', '對線']"
: 小k猛起來就是無敵，決賽跟宙斯一起消失就...,"[':', ' ', '小', 'k', '猛起', '來', '就是', '無敵', '，', '決賽', '跟', '宙斯', '一起', '消失', '就', '...']"
: 真的不是很懂大東  U5說切紫槍定身可能就死了,"[':', ' ', '真的', '不是', '很', '懂大東', ' ', ' ', 'U5', '說切', '紫槍', '定身', '可能', '就', '死', '了']"
: MISSING明明在這幾場有回春==,"[':', ' ', 'MISSING', '明明', '在', '這幾場', '有', '回春', '=', '=']"
: 然後w 把紫槍換到副武 再a 就是掛紫槍標記,"[':', ' ', '然', '後', 'w', ' ', '把', '紫槍換', '到', '副', '武', ' ', '再', 'a', ' ', '就是', '掛紫槍', '標記']"
: 版本LCK比較會玩,"[':', ' ', '版本', 'LCK', '比較', '會', '玩']"
: 去年MISSING是LPL第一輔助 今年就差多了,"[':', ' ', '去年', 'MISSING', '是', 'LPL', '第一', '輔助', ' ', '今年', '就', '差', '多', '了']"
: U5真的很可憐，更慘的是很多人不知道U5講對講錯,"[':', ' ', 'U5', '真的', '很', '可憐', '，', '更慘', '的', '是', '很多', '人', '不', '知道', 'U5', '講對', '講錯']"
: 然後再w q打出定身的傷害,"[':', ' ', '然後再', 'w', ' ', 'q', '打出', '定身', '的', '傷害']"
: Missing 是靠對面襯托才不爛，遇到強的輔助就會原,"[':', ' ', 'Missing', ' ', '是', '靠', '對面', '襯托才', '不爛', '，', '遇到', '強的', '輔助', '就', '會', '原']"
: 能好多少，AV依舊是先刷的風格,"[':', ' ', '能', '好', '多少', '，', 'AV', '依舊', '是', '先刷', '的', '風格']"
: 看RB台測試 U5好像是沒說錯==,"[':', ' ', '看', 'RB', '台測試', ' ', 'U5', '好像', '是', '沒', '說', '錯', '=', '=']"
: 形畢露,"[':', ' ', '形畢露']"
: 也不意外拉  聊天室就一堆沒碰遊戲的雲,"[':', ' ', '也', '不', '意外', '拉', ' ', ' ', '聊天室', '就', '一堆', '沒', '碰遊戲', '的', '雲']"
: 春決到MSI都狀況不錯啊 這叫爛很久？,"[':', ' ', '春決', '到', 'MSI', '都', '狀況', '不錯', '啊', ' ', '這叫爛', '很', '久', '？']"
: 這版軟輔能出的就LULU烈娜塔,"[':', ' ', '這版', '軟輔', '能', '出', '的', '就', 'LULU', '烈', '娜塔']"
: 超好笑 一堆沒玩大東的,"[':', ' ', '超', '好笑', ' ', '一堆', '沒玩大東', '的']"
: 今年春季賽 MSIISNG 確實沒打好 但MSI明顯有回來啊,"[':', ' ', '今年', '春季', '賽', ' ', 'MSIISNG', ' ', '確實', '沒', '打', '好', ' ', '但', 'MSI', '明顯', '有', '回來', '啊']"
: missing這版本強不強還不好說 目前對手都太爛 看不,"[':', ' ', 'missing', '這', '版本', '強不強還', '不好', '說', ' ', '目前', '對手', '都', '太爛', ' ', '看', '不']"
: 切槍就沒講錯 可憐主播做功課還要被噴,"[':', ' ', '切槍', '就', '沒', '講錯', ' ', '可憐', '主播', '做功', '課', '還要', '被噴']"
: 什不錯 跟誰比不錯,"[':', ' ', '什不錯', ' ', '跟', '誰', '比不錯']"
: 我覺得大東不意外啦，畢竟這隻角色很多人沒碰過正常,"[':', ' ', '我覺', '得', '大東', '不', '意外', '啦', '，', '畢竟', '這', '隻', '角色', '很多', '人', '沒', '碰過', '正常']"
: 出來真實力在哪 反正對上t1就知道了,"[':', ' ', '出來', '真', '實力', '在', '哪', ' ', '反正', '對', '上', 't1', '就', '知道', '了']"
: 別牙膏去年國內吹上天 在世界賽被老人教育,"[':', ' ', '別', '牙膏', '去年', '國內', '吹', '上天', ' ', '在', '世界', '賽', '被', '老人', '教育']"
: 正常嗎... ?,"[':', ' ', '正常', '嗎', '...', ' ', '?']"
: 你要跟全LPL輔助比起來當然不能算差,"[':', ' ', '你', '要', '跟', '全', 'LPL', '輔助', '比起', '來', '當然', '不能', '算差']"
: 剛剛聊天是狂嘴  害我回去翻VOD發現U5沒講錯,"[':', ' ', '剛剛', '聊天', '是', '狂', '嘴', ' ', ' ', '害', '我', '回去', '翻', 'VOD', '發現', 'U5', '沒講錯']"
: 春決gap on 啊on gap剩下LPL輔助,"[':', ' ', '春決', 'gap', ' ', 'on', ' ', '啊', 'on', ' ', 'gap', '剩下', 'LPL', '輔助']"
: LPL去年世界賽到現在，輔助都偏爛，無法見真章,"[':', ' ', 'LPL', '去年', '世界', '賽到', '現在', '，', '輔助', '都', '偏爛', '，', '無法', '見', '真章']"
: 去年牙膏訪問: 反正我就是被T1教育了,"[':', ' ', '去年', '牙膏', '訪問', ':', ' ', '反正', '我', '就是', '被', 'T1', '教育', '了']"
: RB找狗哥來問了,"[':', ' ', 'RB', '找狗哥', '來問', '了']"
: 我腎出走 是三小 笑死,"[':', ' ', '我', '腎', '出走', ' ', '是', '三', '小', ' ', '笑', '死']"
: 怎樣跟爛很久也不沾邊吧,"[':', ' ', '怎樣', '跟爛', '很', '久', '也', '不沾邊', '吧']"
: 你要宇宙隊來看 下路就真的是小短版,"[':', ' ', '你', '要', '宇宙', '隊來', '看', ' ', '下路', '就', '真的', '是', '小', '短版']"
: 下路爆好幾次了,"[':', ' ', '下路', '爆好', '幾次', '了']"
: 我建議Missing換寶藍  宇宙五件頭  其他隊直接棄賽,"[':', ' ', '我建議', 'Missing', '換寶藍', ' ', ' ', '宇宙', '五件', '頭', ' ', ' ', '其他', '隊', '直接', '棄賽']"
: U5什麼都可以講錯 大東是他main角應該不會錯吧？,"[':', ' ', 'U5', '什麼', '都', '可以', '講錯', ' ', '大東', '是', '他', 'main', '角應', '該', '不會', '錯', '吧', '？']"
: JDG會出問題一定就是Kanavi看到韓國中風,"[':', ' ', 'JDG', '會出', '問題', '一定', '就是', 'Kanavi', '看到', '韓國', '中風']"
: 是短板=爛很久？,"[':', ' ', '是', '短板', '=', '爛', '很', '久', '？']"
: 不用講太深，畢竟大部分人是真不懂XD,"[':', ' ', '不用', '講太深', '，', '畢竟', '大部分', '人', '是', '真', '不', '懂', 'XD']"
: rb也是很會抓流量 xD,"[':', ' ', 'rb', '也', '是', '很會', '抓', '流量', ' ', 'xD']"
: 沒碰過又要裝懂瞎噴怎麼正常,"[':', ' ', '沒', '碰過', '又', '要裝', '懂瞎噴', '怎麼', '正常']"
: Kanavi沒有一次看到LCK打野不中風的,"[':', ' ', 'Kanavi', '沒有', '一次', '看到', 'LCK', '打野', '不中風', '的']"
: 牙膏算S級中路跟A級中路之間吧,"[':', ' ', '牙膏', '算', 'S', '級', '中路', '跟', 'A', '級', '中路', '之間', '吧']"
: 後面打LCK就知道MISSING如何了,"[':', ' ', '後', '面', '打', 'LCK', '就', '知道', 'MISSING', '如何', '了']"
: 好像又大逆轉ㄟ，到底行不行,"[':', ' ', '好像', '又', '大逆轉', 'ㄟ', '，', '到底', '行不行']"
: 可是狗哥說本來就沒那把不能,"[':', ' ', '可是', '狗哥', '說', '本來', '就', '沒', '那', '把', '不能']"
: 印象中不是鑽石main大東嗎U5,"[':', ' ', '印象', '中', '不是', '鑽石', 'main', '大東', '嗎', 'U5']"
: OK RB測是可以 狗哥說不行,"[':', ' ', 'OK', ' ', 'RB', '測是', '可以', ' ', '狗哥', '說', '不行']"
: AV的問題就是刷野優先的固定思路會讓韓國隊特別好抓,"[':', ' ', 'AV', '的', '問題', '就是', '刷野', '優先', '的', '固定', '思路', '會', '讓', '韓國隊', '特別', '好', '抓']"
: 所以京東去年打到T1才炸了,"[':', ' ', '所以', '京東', '去年', '打到', 'T1', '才', '炸', '了']"
: 到底行不行= =,"[':', ' ', '到底', '行不行', '=', ' ', '=']"
: 反正聊天室狗叫完就裝死 差低,"[':', ' ', '反正', '聊天室', '狗叫', '完', '就', '裝死', ' ', '差低']"
: 打個blg鬧麻了 對到T1 geng才知道差距,"[':', ' ', '打個', 'blg', '鬧麻', '了', ' ', '對', '到', 'T1', ' ', 'geng', '才', '知道', '差距']"
: 覺得表現有待驗證也不是爛很久吧 純屬瞎噴,"[':', ' ', '覺得表現', '有待', '驗證', '也', '不是', '爛', '很', '久', '吧', ' ', '純屬', '瞎噴']"
: 他動向，甚至都不用放眼把眼放線上專心打線，JDG去,"[':', ' ', '他動', '向', '，', '甚至', '都', '不用', '放眼', '把', '眼放線', '上', '專心', '打線', '，', 'JDG', '去']"
: 牙膏今年...反正lpl今年除了jdg其他都菜的離譜,"[':', ' ', '牙膏', '今年', '...', '反正', 'lpl', '今年', '除了', 'jdg', '其他', '都', '菜', '的', '離譜']"
: 年還是兩條線都打不贏，直接下半區炸爛,"[':', ' ', '年', '還是', '兩條線', '都', '打', '不贏', '，', '直接', '下半區', '炸爛']"
: JDG這把靠賽恩靈車來送，賽恩不走位真賣肉,"[':', ' ', 'JDG', '這把', '靠', '賽恩靈車', '來', '送', '，', '賽恩', '不', '走位', '真賣', '肉']"
: 其實去年JDG跟DK就已經差不多感覺 DK有機會贏,"[':', ' ', '其實', '去年', 'JDG', '跟', 'DK', '就', '已經', '差不多', '感覺', ' ', 'DK', '有', '機會贏']"
: 看VOD Ruler感覺也發現切錯了 視訊推一下眼鏡還笑了,"[':', ' ', '看', 'VOD', ' ', 'Ruler', '感覺', '也', '發現', '切錯', '了', ' ', '視訊', '推', '一下眼', '鏡', '還笑', '了']"
: 宇宙隊 下路炸好幾次 還不能噴爛很久,"[':', ' ', '宇宙', '隊', ' ', '下路', '炸', '好', '幾次', ' ', '還', '不能', '噴爛', '很', '久']"
: 牙膏季賽跟春決之前都還好 春決就著猴了,"[':', ' ', '牙膏', '季賽', '跟', '春決', '之前', '都', '還好', ' ', '春決', '就', '著', '猴', '了']"
: 牙膏以目前msi表現 只能給到B+ 跟CAPS差不多那種,"[':', ' ', '牙膏', '以', '目前', 'msi', '表現', ' ', '只能', '給到', 'B', '+', ' ', '跟', 'CAPS', '差不多', '那種']"
: 大東切槍u5那邊沒有講錯 是我被聊天室誤導了 我雲,"[':', ' ', '大東切', '槍', 'u5', '那邊', '沒有', '講錯', ' ', '是', '我', '被', '聊天室', '誤導', '了', ' ', '我', '雲']"
: 還真是瞎噴 顆顆,"[':', ' ', '還', '真是', '瞎噴', ' ', '顆顆']"
: 又翻盤了484,"[':', ' ', '又', '翻盤', '了', '484']"
: 到底行不行= =,"[':', ' ', '到底', '行不行', '=', ' ', '=']"
: 感覺是狗哥剛睡醒不知道在幹嘛,"[':', ' ', '感覺', '是', '狗', '哥剛', '睡醒', '不', '知道', '在', '幹', '嘛']"
: 啊近況就不爛 一直嘴硬說爛很久到底要幹嘛,"[':', ' ', '啊', '近況', '就', '不爛', ' ', '一直', '嘴硬', '說爛', '很', '久', '到底', '要', '幹', '嘛']"
: 啥 牙膏很爛但沒craps爛吧,"[':', ' ', '啥', ' ', '牙膏', '很爛', '但', '沒', 'craps', '爛吧']"
: 我快笑死，到底是狗哥沒睡醒還是U5沒講錯,"[':', ' ', '我', '快', '笑', '死', '，', '到底', '是', '狗哥', '沒', '睡醒', '還是', 'U5', '沒講錯']"
: kt deft 洗分仔那個說可以,"[':', ' ', 'kt', ' ', 'deft', ' ', '洗分', '仔', '那個', '說', '可以']"
: 其實練習模式開一下就知道了,"[':', ' ', '其', '實練習', '模式', '開', '一下', '就', '知道', '了']"
: 牙膏爛到什麼程度，等BLG打G2就可以知道惹,"[':', ' ', '牙膏', '爛到', '什麼', '程度', '，', '等', 'BLG', '打', 'G2', '就', '可以', '知道', '惹']"
: 兩個差不多吧 半斤八兩 都是沒啥表現還會送頭那種,"[':', ' ', '兩個', '差不多', '吧', ' ', '半斤', '八兩', ' ', '都', '是', '沒', '啥', '表現', '還會', '送頭', '那種']"
: RB剛剛用練習模式測 是可以,"[':', ' ', 'RB', '剛剛', '用練習', '模式', '測', ' ', '是', '可以']"
: 就是切錯少紫q傷害啊= =,"[':', ' ', '就是', '切錯', '少', '紫', 'q', '傷害', '啊', '=', ' ', '=']"
: 確實欸 等等看blg打gg就好了  有啥好吵的,"[':', ' ', '確實', '欸', ' ', '等等', '看', 'blg', '打', 'gg', '就', '好', '了', ' ', ' ', '有', '啥', '好', '吵', '的']"
: 等等再來開自訂測試  印象是可以的,"[':', ' ', '等等', '再來', '開自訂', '測試', ' ', ' ', '印象', '是', '可以', '的']"
: 牙膏不是有點輸R7中路嗎 不用對到G2就知道吧,"[':', ' ', '牙膏', '不是', '有點', '輸', 'R7', '中路', '嗎', ' ', '不用', '對', '到', 'G2', '就', '知道', '吧']"
: 笑了 爛很久=打不贏KERIA  直接說十粒爛就好了==,"[':', ' ', '笑', '了', ' ', '爛', '很', '久', '=', '打不贏', 'KERIA', ' ', ' ', '直接', '說', '十粒', '爛就', '好', '了', '=', '=']"
: Caps現在太誇張了...但反過來說如果他能夠及時糾正,"[':', ' ', 'Caps', '現在', '太', '誇張', '了', '...', '但', '反過', '來', '說', '如果', '他', '能夠', '及', '時', '糾正']"
: 實力,"[':', ' ', '實力']"
: 虎撲早就噴牙膏噴很久了,"[':', ' ', '虎', '撲', '早就', '噴', '牙膏', '噴很久', '了']"
: 笑死 LPL季賽有小K 可憐喔,"[':', ' ', '笑', '死', ' ', 'LPL', '季賽', '有', '小', 'K', ' ', '可憐', '喔']"
: 可以啊   狗哥剛睡醒不知道在幹嘛吧= =,"[':', ' ', '可以', '啊', ' ', ' ', ' ', '狗哥剛', '睡醒', '不', '知道', '在', '幹', '嘛', '吧', '=', ' ', '=']"
: Caps誇張沒錯，但牙膏也誇張，兩者半斤八兩,"[':', ' ', 'Caps', '誇張', '沒錯', '，', '但', '牙膏', '也', '誇張', '，', '兩者', '半斤', '八兩']"
: 韓粉還會去虎撲也是蠻好笑的,"[':', ' ', '韓粉', '還會', '去', '虎', '撲', '也', '是', '蠻', '好笑', '的']"
: 的話G2就有資格競爭前三了，Caps現在找機會能力還沒,"[':', ' ', '的', '話', 'G2', '就', '有', '資格', '競爭', '前', '三', '了', '，', 'Caps', '現在', '找', '機會', '能力', '還沒']"
: 牙膏就是MSI不知道在幹嘛 還可以輸R7中路,"[':', ' ', '牙膏', '就是', 'MSI', '不', '知道', '在', '幹', '嘛', ' ', '還', '可以', '輸', 'R7', '中路']"
: ??阿厘要首搶??,"[':', ' ', '?', '?', '阿厘要', '首', '搶', '?', '?']"
: 可以了 RB剛剛有觀眾貼測試成功的給他看,"[':', ' ', '可以', '了', ' ', 'RB', '剛剛', '有', '觀眾', '貼', '測試', '成功', '的', '給他', '看']"
: 可憐的u5 被蝦雞巴噴,"[':', ' ', '可憐', '的', 'u5', ' ', '被', '蝦', '雞巴噴']"
: 你們真的沒事都會看中國論壇在講啥喔==?,"[':', ' ', '你們', '真的', '沒事', '都', '會', '看中', '國論壇', '在', '講啥', '喔', '=', '=', '?']"
: 剛剛U5一講切槍  聊天室一堆直接噴主播白吃,"[':', ' ', '剛剛', 'U5', '一講切', '槍', ' ', ' ', '聊天室', '一堆', '直接', '噴主播', '白吃']"
: 牙膏爛到被R7龍王屌打  就知道超爛,"[':', ' ', '牙膏', '爛到', '被', 'R7', '龍王', '屌', '打', ' ', ' ', '就', '知道', '超爛']"
: 虎撲一堆對岸韓粉喔 自己去看就知道 XD,"[':', ' ', '虎', '撲', '一堆', '對岸', '韓粉', '喔', ' ', '自己', '去', '看', '就', '知道', ' ', 'XD']"
: 丟，但其他的就幾乎是倒數水平,"[':', ' ', '丟', '，', '但', '其他', '的', '就', '幾乎', '是', '倒數', '水平']"
: 還以為虎撲都支持LPL嗎 笑死,"[':', ' ', '還以', '為', '虎', '撲', '都', '支持', 'LPL', '嗎', ' ', '笑', '死']"
