comments,keywords
: 右邊pick超被動 每一選都在想Counter 出來結果超怪,"[':', ' ', '右邊', 'pick', '超', '被動', ' ', '每一選', '都', '在', '想', 'Counter', ' ', '出來', '結果', '超怪']"
: 抄了也不會贏 笑死,"[':', ' ', '抄', '了', '也', '不會贏', ' ', '笑', '死']"
: 你要確定之前會出22欸,"[':', ' ', '你', '要', '確定', '之前', '會出', '22', '欸']"
: 又是坦克互敲....,"[':', ' ', '又', '是', '坦克', '互敲', '....']"
: 抄t1不過沒有t1的執行力,"[':', ' ', '抄', 't1', '不過', '沒有', 't1', '的', '執行力']"
: 看Kanavi 表演就好,"[':', ' ', '看', 'Kanavi', ' ', '表演', '就', '好']"
: 耐德利 等輸,"[':', ' ', '耐', '德利', ' ', '等', '輸']"
: 阿不過 上大坦 下大ad meta 也沒啥超不抄的,"[':', ' ', '阿不過', ' ', '上大坦', ' ', '下大', 'ad', ' ', 'meta', ' ', '也', '沒', '啥', '超不抄', '的']"
: 抓到,"[':', ' ', '抓', '到']"
: 勳導必被吊著搥,"[':', ' ', '勳導必', '被', '吊著', '搥']"
: 幾百年沒坦克大Ad版本了，反正世界賽高機率又是鬥,"[':', ' ', '幾', '百年', '沒', '坦克', '大', 'Ad', '版本', '了', '，', '反正', '世界', '賽高', '機率', '又', '是鬥']"
: 士版本XD,"[':', ' ', '士', '版本', 'XD']"
: 馬上抄,"[':', ' ', '馬', '上', '抄']"
: BLG選的比較好，如果兩邊選手實力相當的話有贏面,"[':', ' ', 'BLG', '選', '的', '比', '較', '好', '，', '如果', '兩邊', '選手', '實力', '相當', '的', '話', '有', '贏面']"
: 給治癒喔?,"[':', ' ', '給治', '癒', '喔', '?']"
: 就只會抄,"[':', ' ', '就', '只會', '抄']"
: 學一半==,"[':', ' ', '學', '一半', '=', '=']"
: 防住了耶,"[':', ' ', '防住', '了', '耶']"
: 笑死 作業抄不好,"[':', ' ', '笑', '死', ' ', '作業', '抄', '不好']"
: 學一半是什麼洨，太虧了吧,"[':', ' ', '學', '一半', '是', '什麼', '洨', '，', '太虧', '了', '吧']"
: 看AV有阻止上3,"[':', ' ', '看', 'AV', '有', '阻止', '上', '3']"
: 該學的不學 去賣阿,"[':', ' ', '該學', '的', '不學', ' ', '去', '賣', '阿']"
: 抄不好,"[':', ' ', '抄', '不好']"
: 超爛 被防住那是在學個雞巴,"[':', ' ', '超爛', ' ', '被', '防住', '那', '是', '在', '學個', '雞巴']"
: 連一級都要抄嗎,"[':', ' ', '連一級', '都', '要', '抄', '嗎']"
: 是BLG玩得太爛  你下路不先上線推  要怎麼越,"[':', ' ', '是', 'BLG', '玩得', '太爛', ' ', ' ', '你', '下路', '不先', '上線', '推', ' ', ' ', '要', '怎麼', '越']"
: 好醜喔 這套路= =,"[':', ' ', '好醜', '喔', ' ', '這', '套路', '=', ' ', '=']"
: 學一半不如不要學,"[':', ' ', '學', '一半', '不如', '不要', '學']"
: 就是京東找到解答而已吧 哪是學一半,"[':', ' ', '就是', '京東', '找到', '解答', '而已', '吧', ' ', '哪', '是', '學', '一半']"
: 山寨,"[':', ' ', '山寨']"
: 笑死 抄一半,"[':', ' ', '笑', '死', ' ', '抄', '一半']"
: 這個如果不是卡利斯搞不好真的來不及升2，JDG理解還,"[':', ' ', '這個', '如果', '不是', '卡利斯', '搞不好', '真的', '來', '不及', '升', '2', '，', 'JDG', '理解', '還']"
: 陳澤彬不是前面就拿過賽恩嗎 抄在哪,"[':', ' ', '陳澤彬', '不是', '前面', '就', '拿', '過賽', '恩', '嗎', ' ', '抄', '在', '哪']"
: 下來吃兩隻野然後就t回去,"[':', ' ', '下來', '吃', '兩', '隻', '野然', '後', '就', 't', '回去']"
: 下路推不贏 學一半喔,"[':', ' ', '下路', '推不贏', ' ', '學', '一半', '喔']"
: 爛死了 一群低能兒 快下去,"[':', ' ', '爛死', '了', ' ', '一群', '低能', '兒', ' ', '快', '下去']"
: T1流,"[':', ' ', 'T1', '流']"
: 這種玩法不就是賽恩死完再上去嗎，怕三小,"[':', ' ', '這種', '玩法', '不', '就是', '賽恩死', '完', '再', '上去', '嗎', '，', '怕', '三', '小']"
: LPL果然是第一賽區 賽恩這戰術馬上就被破解了,"[':', ' ', 'LPL', '果然', '是', '第一', '賽區', ' ', '賽恩', '這戰術', '馬', '上', '就', '被', '破解', '了']"
: 然後下路線有防止進塔,"[':', ' ', '然後下', '路線', '有', '防止', '進塔']"
: 下路沒辦法推不就是抄一半,"[':', ' ', '下路', '沒', '辦法', '推', '不', '就是', '抄', '一半']"
: 被破解了吧,"[':', ' ', '被', '破解', '了', '吧']"
: 醜死了 這樣玩賽恩根本打不贏LCK,"[':', ' ', '醜死', '了', ' ', '這樣', '玩賽', '恩', '根本', '打不贏', 'LCK']"
: 學一半,"[':', ' ', '學', '一半']"
: 真棒 連兩天四大賽區都有台灣解說 太頂了吧,"[':', ' ', '真棒', ' ', '連兩天', '四大', '賽區', '都', '有', '台灣解', '說', ' ', '太頂', '了', '吧']"
: 是不錯的，但如果是T1我覺得還是硬越XD Bin還是不想,"[':', ' ', '是', '不錯', '的', '，', '但', '如果', '是', 'T1', '我覺', '得', '還是', '硬', '越', 'XD', ' ', 'Bin', '還是', '不想']"
: 死，這個套路賽恩就是要去死，Jinx有頭就結束了,"[':', ' ', '死', '，', '這個', '套路', '賽恩', '就是', '要', '去', '死', '，', 'Jinx', '有頭', '就', '結束', '了']"
: t1應該是直接硬越，只有ad有拿頭目的就有了,"[':', ' ', 't1', '應該', '是', '直接', '硬越', '，', '只有', 'ad', '有拿頭', '目的', '就', '有', '了']"
: 沒套路到輸一半,"[':', ' ', '沒', '套路', '到', '輸', '一半']"
: 左手跑現了  pog,"[':', ' ', '左手', '跑現', '了', ' ', ' ', 'pog']"
: 超沒紀律性的扛塔,"[':', ' ', '超沒紀律性', '的', '扛', '塔']"
: 換掉 算有止血 但還是窺爛欸,"[':', ' ', '換掉', ' ', '算有', '止血', ' ', '但', '還是', '窺爛', '欸']"
: T1也只有第一把敢這樣 後面怕被破解,"[':', ' ', 'T1', '也', '只有', '第一把', '敢', '這樣', ' ', '後', '面怕', '被', '破解']"
: 看AV-C了,"[':', ' ', '看', 'AV', '-', 'C', '了']"
: 到底為什麼遠程不先A一下幫忙抗爭,"[':', ' ', '到底', '為', '什麼', '遠程', '不先', 'A', '一下', '幫忙', '抗爭']"
: Ad 有頭就賺虧超多兵,"[':', ' ', 'Ad', ' ', '有頭', '就', '賺', '虧', '超多兵']"
: JINX換到頭哦，賺翻了,"[':', ' ', 'JINX', '換到頭', '哦', '，', '賺', '翻', '了']"
: 別雲好嗎?T1第二把不用是Jinx被首搶了，拿到鐵定繼,"[':', ' ', '別雲好', '嗎', '?', 'T1', '第二把', '不用', '是', 'Jinx', '被首', '搶', '了', '，', '拿到', '鐵定繼']"
: 看XUN導能不能養豬惹,"[':', ' ', '看', 'XUN', '導能', '不能', '養豬', '惹']"
: 續用啊，這套路在紫方是真的猛,"[':', ' ', '續用', '啊', '，', '這', '套路', '在', '紫方', '是', '真的', '猛']"
: AV是不想玩了484  直接在塔下掛機,"[':', ' ', 'AV', '是', '不想', '玩', '了', '484', ' ', ' ', '直接', '在', '塔下', '掛機']"
: KANAVI一個罰站，看XUN導惹,"[':', ' ', 'KANAVI', '一個', '罰', '站', '，', '看', 'XUN', '導惹']"
: T1不越那把打維爾戈+JINX吧 這組合趕越說不定被收光,"[':', ' ', 'T1', '不越', '那', '把', '打維爾戈', '+', 'JINX', '吧', ' ', '這組合', '趕越', '說', '不定', '被', '收光']"
: 京東這把有什麼東西會讓人不敢越嗎,"[':', ' ', '京東', '這把', '有', '什麼', '東西會', '讓', '人', '不敢', '越', '嗎']"
: 聊天室都是桑貝比...,"[':', ' ', '聊天室', '都', '是', '桑貝比', '...']"
: 這主播怎麼有中國口音 聽了不習慣,"[':', ' ', '這主播', '怎麼', '有', '中國', '口音', ' ', '聽', '了', '不', '習慣']"
: missing!,"[':', ' ', 'missing', '!']"
: 看吧  下路穿線  這就是 宇宙四件頭,"[':', ' ', '看吧', ' ', ' ', '下路', '穿線', ' ', ' ', '這', '就是', ' ', '宇宙', '四件', '頭']"
: 狂斷,"[':', ' ', '狂斷']"
: 亞運ad？,"[':', ' ', '亞運', 'ad', '？']"
